class,x1,y1,x2,y2,xmax,ymax
0,109,182,859,854,1764,1012
0,874,186,1631,668,1764,1012
0,885,702,1675,999,1764,1012
0,1258,146,1615,8,1764,1012
0,106,871,396,999,1764,1012
1,160,64,160,64,1764,1012
1,155,63,533,143,1764,1012
1,128,196,413,260,1764,1012
1,895,201,1433,257,1764,1012
1,915,266,1536,338,1764,1012
1,132,883,307,939,1764,1012
1,894,708,1126,758,1764,1012
1,909,773,1619,851,1764,1012
2,195,77,195,77,1764,1012
2,162,73,338,147,1764,1012
2,348,142,529,69,1764,1012
2,1338,16,1493,53,1764,1012
2,1494,54,1544,14,1764,1012
2,1278,57,1323,97,1764,1012
2,1324,97,1405,63,1764,1012
2,1405,63,1469,96,1764,1012
2,1469,96,1545,60,1764,1012
2,1275,103,1548,135,1764,1012
2,137,204,406,251,1764,1012
2,154,271,274,310,1764,1012
2,274,310,313,272,1764,1012
2,313,267,429,311,1764,1012
2,429,311,465,275,1764,1012
2,466,266,587,313,1764,1012
2,159,310,232,342,1764,1012
2,234,344,300,311,1764,1012
2,300,311,426,345,1764,1012
2,164,344,220,380,1764,1012
2,220,380,284,344,1764,1012
2,300,344,419,375,1764,1012
2,419,375,458,346,1764,1012
2,163,381,244,407,1764,1012
2,269,411,332,380,1764,1012
2,338,377,399,406,1764,1012
2,406,411,558,377,1764,1012
2,556,375,615,411,1764,1012
2,616,413,754,378,1764,1012
2,754,378,838,410,1764,1012
2,159,410,270,443,1764,1012
2,270,443,367,414,1764,1012
2,368,411,545,441,1764,1012
2,545,441,615,412,1764,1012
2,615,411,739,442,1764,1012
2,739,413,841,445,1764,1012
2,159,468,303,504,1764,1012
2,302,504,340,465,1764,1012
2,339,465,458,504,1764,1012
2,456,504,489,467,1764,1012
2,489,467,615,510,1764,1012
2,160,507,225,538,1764,1012
2,225,538,285,505,1764,1012
2,287,503,400,534,1764,1012
2,162,540,213,569,1764,1012
2,212,569,273,538,1764,1012
2,285,540,394,562,1764,1012
2,398,567,423,536,1764,1012
2,161,570,271,598,1764,1012
2,274,599,360,569,1764,1012
2,360,569,431,596,1764,1012
2,162,603,292,630,1764,1012
2,290,630,342,599,1764,1012
2,343,601,372,630,1764,1012
2,372,632,428,600,1764,1012
2,427,600,501,633,1764,1012
2,501,633,541,600,1764,1012
2,539,600,558,631,1764,1012
2,561,605,670,632,1764,1012
2,163,700,243,657,1764,1012
2,245,661,388,700,1764,1012
2,388,700,606,661,1764,1012
2,163,700,302,727,1764,1012
2,163,729,213,759,1764,1012
2,213,759,270,729,1764,1012
2,283,728,390,756,1764,1012
2,390,756,426,729,1764,1012
2,165,789,260,757,1764,1012
2,263,757,303,788,1764,1012
2,303,788,368,761,1764,1012
2,370,760,423,792,1764,1012
2,423,792,486,758,1764,1012
2,486,758,541,791,1764,1012
2,541,793,620,759,1764,1012
2,620,758,674,789,1764,1012
2,674,789,761,758,1764,1012
2,163,790,221,821,1764,1012
2,221,821,263,790,1764,1012
2,263,790,344,822,1764,1012
2,344,822,435,791,1764,1012
2,435,791,545,822,1764,1012
2,545,822,586,792,1764,1012
2,584,792,697,818,1764,1012
2,696,818,743,796,1764,1012
